1,Georgia Bulldogs,Indiana Hoosiers,Wisconsin Badgers,Kentucky Wildcats
2,Virginia Cavaliers,Purdue Boilermakers,San Diego State Aztecs,Texas Tech Red Raiders
3,Nevada Wolf Pack,Baylor Bears,Tennessee Volunteers,Florida State Seminoles
4,Hawaii Rainbow Warriors,Illinois Fighting Illini,Ohio State Buckeyes,Saint Joseph's Hawks
5,West Virginia Mountaineers,Boston College Eagles,Gonzaga Bulldogs,Vanderbilt Commodores
6,Oregon Ducks,USF Bulls,Notre Dame Fighting Irish,Alabama Crimson Tide
7,Arkansas Razorbacks,TCU Horned Frogs,Seton Hall Pirates,Oklahoma Sooners
8,Howard Bison,Utah Runnin' Utes,Northwestern Wildcats,South Dakota State Jackrabbits
9,Georgetown Hoyas,Maryland Terrapins,Arizona State Sun Devils,Massachusetts Minutemen
10,Syracuse Orange,Charleston Cougars,UTSA Roadrunners,California Golden Bears
